service_id,date,exception_type
036725L_03604_,20260717,1
036725L_03605_,20260717,1
036725L_03606_,20260717,1
036725L_03607_,20260717,1
036725L_03608_,20260717,1
036725L_03609_,20260717,1
036725L_036E1_,20260717,1
038725L_03801_,20260717,1
038725L_03802_,20260717,1
038725L_03803_,20260717,1
038725L_03804_,20260717,1
038725L_03805_,20260717,1
038725L_03806_,20260717,1
038725L_03807_,20260717,1
038725L_03808_,20260717,1
038725L_03809_,20260717,1
038725L_03810_,20260717,1
038725L_03811_,20260717,1
038725L_03812_,20260717,1
038725L_03813_,20260717,1
038725L_038E1_,20260717,1
039724L_03901_,20260717,1
039724L_03902_,20260717,1
039724L_03903_,20260717,1
039724L_03904_,20260717,1
039724L_03905_,20260717,1
039724L_03906_,20260717,1
039724L_03907_,20260717,1
039724L_03908_,20260717,1
039724L_03909_,20260717,1
039724L_03910_,20260717,1
039724L_03911_,20260717,1
039724L_03912_,20260717,1
040724L_04001_,20260717,1
040724L_04002_,20260717,1
040724L_04003_,20260717,1
040724L_04004_,20260717,1
040724L_04005_,20260717,1
040724L_04006_,20260717,1
041781L_04101_,20260717,1
041781L_04102_,20260717,1
041781L_04103_,20260717,1
042724L_04201_,20260717,1
042724L_04202_,20260717,1
042724L_04203_,20260717,1
042724L_04204_,20260717,1
042724L_04205_,20260717,1
042724L_04206_,20260717,1
042724L_04207_,20260717,1
042724L_04208_,20260717,1
042724L_04209_,20260717,1
042724L_04210_,20260717,1
042724L_04211_,20260717,1
042724L_04212_,20260717,1
042724L_04213_,20260717,1
043007L_04301_,20260717,1
044724L_04401_,20260717,1
044724L_04402_,20260717,1
044724L_04403_,20260717,1
044724L_04404_,20260717,1
044724L_04405_,20260717,1
050003L_05001_,20260717,1
050003L_05002_,20260717,1
050003L_05003_,20260717,1
050003L_050E1_,20260717,1
050003L_050E2_,20260717,1
051007L_05101_,20260717,1
051007L_05102_,20260717,1
051007L_05103_,20260717,1
051007L_05104_,20260717,1
051007L_05105_,20260717,1
051007L_05106_,20260717,1
052724L_05201_,20260717,1
052724L_05202_,20260717,1
052724L_05203_,20260717,1
052724L_05204_,20260717,1
052724L_05205_,20260717,1
053724L_05301_,20260717,1
053724L_05302_,20260717,1
053724L_05303_,20260717,1
053724L_05304_,20260717,1
053724L_05305_,20260717,1
054700L_05401_,20260717,1
054700L_05402_,20260717,1
055700L_05501_,20260717,1
055700L_05502_,20260717,1
056003L_05601_,20260717,1
057700L_05701_,20260717,1
057700L_05702_,20260717,1
058003L_05801_,20260717,1
059005L_05901_,20260717,1
059005L_059E1_,20260717,1
059005L_059E2_,20260717,1
060724L_06001_,20260717,1
060724L_06002_,20260717,1
060724L_06003_,20260717,1
060724L_06004_,20260717,1
060724L_06005_,20260717,1
0C1003L_0C1E1_,20260717,1
0C4009L_0C401_,20260717,1
0C4009L_0C402_,20260717,1
0C4009L_0C4E1_,20260717,1
0C4009L_0C4E2_,20260717,1
CI1724L_CI101_,20260717,1
CI1724L_CI102_,20260717,1
CI1724L_CI103_,20260717,1
CI1724L_CI104_,20260717,1
CI1724L_CI105_,20260717,1
CI1724L_CI106_,20260717,1
CI1724L_CI107_,20260717,1
CI2724L_CI201_,20260717,1
CI2724L_CI202_,20260717,1
CI2724L_CI203_,20260717,1
CI2724L_CI204_,20260717,1
CI2724L_CI205_,20260717,1
CI2724L_CI206_,20260717,1
CI2724L_CI207_,20260717,1
CI3725L_CI301_,20260717,1
CI3725L_CI302_,20260717,1
CI3725L_CI303_,20260717,1
CI3725L_CI304_,20260717,1
CI3725L_CI305_,20260717,1
CI3725L_CI306_,20260717,1
CI3725L_CI307_,20260717,1
CI3725L_CI308_,20260717,1
CI3725L_CI309_,20260717,1
CI3725L_CI3E1_,20260717,1
CI4725L_CI401_,20260717,1
CI4725L_CI402_,20260717,1
CI4725L_CI403_,20260717,1
CI4725L_CI404_,20260717,1
CI4725L_CI405_,20260717,1
CI4725L_CI406_,20260717,1
CI4725L_CI407_,20260717,1
